;url;title;rooms;price;area;loc
https://www.otodom.pl/pl/oferta/piekne-z-klimatem-garaz-piwnica-bronowice-ID4lcPA;PIEKNE, z klimatem!!! garaż, piwnica BRONOWICE;3;829000;65;Bronowice
https://www.otodom.pl/pl/oferta/trzypokojowe-po-remoncie-przy-parku-ID4kIGe;Trzypokojowe po remoncie przy parku;3;597000;46.8;Prądnik Biały
https://www.otodom.pl/pl/oferta/mieszkanie-64-73-m-krakow-ID4laOt;Mieszkanie, 64,73 m², Kraków;2;940000;64.73;Stare Miasto
https://www.otodom.pl/pl/oferta/atal-residence-bez-prowizji-przy-wisle-ID4lsU6;Atal Residence, bez prowizji, przy Wiśle;3;1199000;71.84;Podgórze
https://www.otodom.pl/pl/oferta/piastowska-30-mieszkanie-2-pokojowe-m2-6-ID4kuZc;Piastowska 30 - mieszkanie 2 pokojowe - M2.6;2;676000;51.94;Krowodrza
https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-w-cichej-okolicy-lokietka-krakow-ID4hUz5;3 pok. mieszkanie w cichej okolicy Łokietka Kraków;3;593000;48.31;Prądnik Biały
https://www.otodom.pl/pl/oferta/wyremontowane-3-pokoje-os-kazimierzowskie-ID4k7mN;Wyremontowane, 3 pokoje, os. Kazimierzowskie;3;451000;43;Nowa Huta
https://www.otodom.pl/pl/oferta/3-pokoje-jasna-kuchnia-54m-os-kazimierzowskie-ID4l8dL;3 pokoje, jasna kuchnia, 54m, oś. Kazimierzowskie;3;470000;54.32;Nowa Huta
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-odnowionej-kamienicy-ID4krZu;Nowoczesne mieszkanie w odnowionej kamienicy;2;1099000;46;Śródmieście
https://www.otodom.pl/pl/oferta/mieszkanie-69m2-biezanow-prokocim-od-wlasciciela-ID4kO3l;Mieszkanie 69m2 Biezanow Prokocim od wlasciciela;3;925000;69;Bieżanów-Prokocim
https://www.otodom.pl/pl/oferta/ul-smetna-3-pokoje-widokowe-64-50m2-100m2-ID4lsST;ul. Smętna, 3 pokoje, widokowe, 64,50m2 (100m2);3;1200000;64.5;Prądnik Biały
https://www.otodom.pl/pl/oferta/po-remoncie-39m2-miejsce-postojowe-ul-zakopianka-ID4lsT0;Po remoncie 39m2+ miejsce postojowe ul zakopianka;2;499200;39;Podgórze
https://www.otodom.pl/pl/oferta/apartament-chalupnika-68-m2-ID4lgPA;Apartament Chałupnika 68 m2;3;1080000;68.4;Grzegórzki
https://www.otodom.pl/pl/oferta/okazja-unikat-ciche-obozowa-ruczaj-europejskie-ID4lmQp;OKAZJA ! Unikat ciche OBOZOWA, RUCZAJ, Europejskie;3;945000;73;Podgórze
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-doskonalej-lokalizacji-ID4ls7a;Dwupokojowe mieszkanie w doskonałej lokalizacji;2;365000;34;Bronowice
